Smiles;IC50 (nM);pIC50 (M);pIC50
Cc1cc(NC(=O)c2ccc3ccccc3c2)ccc1-c1cnc(OCC(C)(C)C(=O)O)cn1;2160;0.00000216;5.665546249
Cn1c(OCC(C)(C)C(=O)O)nnc1-c1ccc(NC(=O)c2ccc3ccccc3c2)cc1;1960;0.00000196;5.707743929
CCOc1ccc(C(=O)NCCNC(=O)c2cn(-c3ccccc3)nc2C)cc1;260;0.00000026;6.585026652
O=C(NCCNC(=O)c1cn(-c2ccccc2)nc1C(F)(F)F)c1ccc(OCC(F)(F)F)nc1;44;0.000000044;7.356547324
Cc1cccc(C)c1-c1ccc(C(=O)NCCNC(=O)c2ccc(O[C@H]3C4CC5CC3C[C@](C(=O)O)(C5)C4)cc2)cc1;5;0.000000005;8.301029996
O=C(NCCNC(=O)c1ccc2ccccc2c1)c1ccc(OC2C3CC4CC2CC(C(=O)O)(C4)C3)cc1;22;0.000000022;7.657577319
Cc1ccc(NC(=O)c2ccc3nc(-c4c(C)cc(CCC(=O)O)cc4C)[nH]c3c2)cc1C;6500;0.0000065;5.187086643
Cc1cc(C(=O)Nc2ccccc2)c2ccc(-c3ccc([C@H]4CC[C@H](CC(=O)O)CC4)cc3)cc2n1;10;0.00000001;8
O=C(Nc1ccc(-c2ccc(C(=O)[C@@H]3CCC[C@H]3C(=O)O)cc2)cc1)Nc1ccc(C(F)(F)F)cc1;14;0.000000014;7.853871964
O=C(Nc1ccc(-c2ccc(C(=O)[C@@H]3CCC[C@H]3C(=O)O)cc2)cc1)Nc1cccc(F)c1;39;0.000000039;7.408935393
O=C(Nc1ccc(-c2ccc(C(=O)[C@@H]3CCC[C@H]3C(=O)O)cc2)cc1)Nc1cccc(C(F)(F)F)c1;17;0.000000017;7.769551079
O=C(Nc1ccc(-c2ccc(C(=O)[C@@H]3CCC[C@H]3C(=O)O)cc2)cc1)Nc1cc(C(F)(F)F)ccc1F;21;0.000000021;7.677780705
O=C(Nc1ccc(-c2ccc(C(=O)[C@@H]3CCC[C@H]3C(=O)O)cc2)cc1)Nc1ccccc1C(F)(F)F;16;0.000000016;7.795880017
O=C(O)CC1CCC(c2ccc(-c3ccc4nc(C(=O)Nc5ccc(F)c(Cl)c5)cn4c3)cc2)CC1;19;0.000000019;7.721246399
Cc1cccc(Cl)c1CNC(=O)c1cn2cc(-c3ccc(C4CCC(CC(=O)O)CC4)cc3)ccc2n1;7.6;7.6E-09;8.119186408
